,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM804194237,used,Hidalgo,Pachuca De Soto,295000,MXN,Usado,4432 mm,2,184 hp,No,Trasera,Sí,1997 cc,BMW,2,2.0,Gasolina,78000 km,Serie 2,Automática,2.0 220ia Sport Line At,2016,,,,
MLM802555803,used,Hidalgo,Pachuca De Soto,119000,MXN,Usado,3897 mm,5,101 hp,,Delantera,,1.6 L,Volkswagen,5,1.6,Gasolina,48232 km,Gol,Manual,1.6 Cl Mt,2016,,,,
MLM809411725,used,Hidalgo,Pachuca De Soto,189000,MXN,Usado,,,,,,,1250 cc,Harley-Davidson,,,,3700 km,V-Rod,,,2013,HPHD805132,Chopper,,
MLM806339396,used,Puebla,Puebla,279900,MXN,Usado,4630 mm,4,174 hp,,Delantera,Sí,1496 cc,Honda,4,1.5,Gasolina,20000 km,Civic,Automática,1.5 Turbo Touring I-style Cvt,2018,,,,
MLM790860183,used,Puebla,Puebla,289900,MXN,Usado,,,,,Trasera,,2 L,BMW,4,,Gasolina,46000 km,Serie 5,Automática,2.0 520ia At,2014,,,,
MLM799243313,used,Hidalgo,Pachuca De Soto,182000,MXN,Usado,,5,,,4x4,Sí,3 L,BMW,5,3.0,Gasolina,149213 km,X5,Automática,3.0 Sia At,2009,,,,
MLM805152052,used,Hidalgo,Pachuca De Soto,375000,MXN,Usado,4923 mm,5,185 hp,,Trasera,Sí,1991 cc,Mercedes-Benz,4,2.0,Gasolina,43145 km,Clase E,Automática,2.0 200 Cgi Avantgarde At,2016,,,,
MLM805511847,used,Hidalgo,Pachuca De Soto,259000,MXN,Usado,,5,,,4x4,Sí,3.6 L,Porsche,5,3.6,Gasolina,99500 km,Cayenne,Automática,3.6 V6 Tiptronic At,2008,,,,
MLM786359753,used,Hidalgo,Pachuca De Soto,399000,MXN,Usado,,,,,Trasera,,,Mini,2,2.0,Gasolina,53000 km,Cooper,Automática,John Cooper Works,2018,,,,
MLM801992398,used,Puebla,Puebla,215000,MXN,Usado,4460 mm,5,,,Delantera,Sí,2.5 L,Mazda,5,2.5,Gasolina,47000 km,Mazda 3,Manual,2.5 S Sport Hatchback Mt,2016,,,,
MLM804608859,used,Hidalgo,Pachuca De Soto,399000,MXN,Usado,5210 mm,5,381 hp,,Trasera,Sí,5663 cc,Toyota,5,5.7,Gasolina,66035 km,Sequoia,Automática,5.7 Platinum At,2016,,,,
MLM805835589,used,Puebla,Puebla,309900,MXN,Usado,4822 mm,5,,,4x2,Sí,3.6 L,Jeep,5,3.6,Gasolina,52000 km,Grand Cherokee,Manual,3.6 Limited 4x2 Mt,2014,,,,
MLM796882323,used,Puebla,Puebla,349900,MXN,Usado,4834 mm,5,,,4x4,Sí,3.6 L,Cadillac,5,3.6,Gasolina,42000 km,SRX,Automática,3.6 Premium At,2016,,,,
MLM800122292,used,Jalisco,Zapopan,81500,MXN,Usado,,,,,,,,Ford,2,,Gasolina,123000 km,Ranger,,6cil standar aire,1994,,,,
MLM805862900,used,Puebla,Puebla,219900,MXN,Usado,,5,,,4x2,Sí,4 L,Ford,5,4.0,Gasolina,72000 km,Explorer,Manual,Limited V6 Sync 4x2 Mt,2011,,,,
MLM802054117,used,Puebla,Puebla,209900,MXN,Usado,4055 mm,,,,Delantera,Sí,1.4 L,SEAT,2,1.4,Gasolina,50000 km,Ibiza,Manual,1.4 Cupra Mt Coupe,2015,,,4,
MLM810635258,used,Hidalgo,Pachuca De Soto,189000,MXN,Usado,,,,,,,650 cc,Can-Am,,,,1350 km,Outlander,,,2018,can -am,Cuatrimotos,,
MLM793711055,used,Puebla,Puebla,229900,MXN,Usado,,5,,,Delantera,Sí,2 L,Ford,5,2.0,Gasolina,42000 km,Focus,Automática,2.0 St L4 T At,2014,,,,
MLM806938103,used,Puebla,Puebla,185000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,70000 km,Passat,,Cc At 2013,2013,,,,
MLM805172494,used,Puebla,Puebla,139900,MXN,Usado,4581 mm,5,,,Delantera,Sí,1.8 L,Mercedes-Benz,4,1.8,Gasolina,86000 km,Clase C,Manual,1.8 180 Cgi Mt,2011,,,,
MLM789338188,used,Jalisco,Zapopan,79500,MXN,Usado,,,,,,,1600 cc,Kawasaki,,,,62000 km,Vulcan 1600,,,2006,,Chopper,,
MLM792137361,used,Puebla,Puebla,325000,MXN,Usado,4275 mm,5,148 hp,,Delantera,Sí,1998 cc,Mazda,5,2.0,Gasolina,8000 km,CX-3,Automática,2.0 I Sport 2wd At,2019,,,,
MLM777231126,used,Puebla,Puebla,265000,MXN,Usado,,,,,Delantera,,1799 cc,Honda,5,,Gasolina,28000 km,HR-V,Automática,1.8 Epic At Cvt,2017,,,,
MLM790863628,used,Puebla,Puebla,239900,MXN,Usado,,,,,4x2,,2.5 L,Mazda,5,,Gasolina,72000 km,CX-5,Manual,2.5 S Grand Touring 4x2 Mt,2014,,,,
MLM807926153,used,Hidalgo,Pachuca De Soto,179000,MXN,Usado,4636 mm,5,129 hp,,Delantera,Sí,1798 cc,Nissan,4,1.8,Gasolina,35269 km,Sentra,Automática,1.8 Advance Cvt,2017,,,,
MLM790453191,used,Puebla,Puebla,195000,MXN,Usado,,,,,4x4,,5.4 L,Lincoln,5,,Gasolina,78000 km,Navigator,Automática,Vagoneta Ultime Qc Lujo 4x4 At,2008,,,,
MLM792704087,used,Puebla,Puebla,265000,MXN,Usado,4294 mm,5,141 hp,,Delantera,Sí,1799 cc,Honda,5,1.8,Gasolina,20000 km,HR-V,Automática,1.8 Epic At Cvt,2017,,,,
MLM808318328,used,Puebla,Puebla,119900,MXN,Usado,5372 mm,2,,,4x2,Sí,4.6 L,Ford,2,4.6,Gasolina,90000 km,Lobo,Manual,4.6 Xlt Cabina Regular 4x2 Mt,2005,,,,
MLM804715732,used,Hidalgo,Pachuca De Soto,249000,MXN,Usado,5151 mm,5,,,Delantera,Sí,3.6 L,Chrysler,5,3.6,Gasolina,63000 km,Town & Country,Manual,3.6 Limited Mt,2016,,,,
MLM803311877,used,Jalisco,Zapopan,82500,MXN,Usado,3931 mm,5,93 hp,,Delantera,,1.6 L,Volkswagen,2,1.6,Gasolina,138000 km,Pointer Pick-Up,Manual,1.6 Crossover Mt,2009,,,,
MLM805839988,used,Hidalgo,Pachuca De Soto,349000,MXN,Usado,,5,,,4x2,Sí,3.6 L,Dodge,5,3.6,Gasolina,41023 km,Durango,Automática,3.6 Limited V6 At,2015,,,,
MLM807669094,used,Jalisco,Zapopan,76500,MXN,Usado,,,,,,,,Ford,2,,Gasolina,165000 km,Ranger,,Cab sencilla 4cil st,1994,,,,
MLM796029336,used,Hidalgo,Pachuca De Soto,189000,MXN,Usado,4410 mm,5,107 hp,,Delantera,Sí,1497 cc,Toyota,4,1.5,Gasolina,44000 km,Yaris,Automática,1.5 Core At Sedan Cvt,2018,,,,
MLM771447548,used,Puebla,Puebla,299900,MXN,Usado,,,,,,,,Suzuki,4,,Gasolina,35000 km,Vitara,,Boosterjet At 2018,2018,,,,
MLM769171694,used,Puebla,Puebla,245000,MXN,Usado,4365 mm,5,163 hp,,Delantera,Sí,1598 cc,Peugeot,5,1.6,Gasolina,42000 km,3008,Automática,1.6 Féline At,2016,,,,
MLM798412864,used,Puebla,Puebla,159900,MXN,Usado,,5,,,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,80000 km,Suburban,Automática,D Piel Aa Dvd Qc 4x4 At,2007,,,,
MLM805863054,used,Puebla,Puebla,165000,MXN,Usado,4799 mm,5,210 hp,,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,71000 km,CC,Automática,2.0 Turbo Dsg Piel Qc At,2010,,,,
MLM792143447,used,Jalisco,Zapopan,127000,MXN,Usado,,5,,,4x2,Sí,4.7 L,Jeep,5,4.7,Gasolina,172000 km,Grand Cherokee,Automática,Limited V8 4x2 At,2005,,,,
MLM809425056,used,Distrito Federal,Coyoacán,239900,MXN,Usado,4294 mm,5,141 hp,Sí,Delantera,Sí,1799 cc,Honda,5,1.8,Gasolina,42000 km,HR-V,Automática,1.8 Epic At Cvt,2016,,,,
MLM780676279,used,Puebla,Puebla,135000,MXN,Usado,,,,,Delantera,,1.8 L,Chevrolet,4,,Gasolina,89000 km,Cruze,Manual,1.8 Ls Mt,2014,,,,
MLM802162123,used,Puebla,Puebla,285000,MXN,Usado,,2,230 hp,,4x4,Sí,2 L,Audi,2,2.0,Gasolina,52000 km,A5,Automática,2.0 S Line Turbo S Tronic Quattro Dsg,2013,,,,
MLM804621399,used,Hidalgo,Pachuca De Soto,449000,MXN,Usado,4989 mm,5,265 hp,,4x4,Sí,3498 cc,Infiniti,5,3.5,Gasolina,45200 km,QX60,Automática,3.5 Perfection Plus Cvt,2017,,,,
MLM769383880,used,Puebla,Puebla,145000,MXN,Usado,,,,,Delantera,,2 L,Renault,4,,Gasolina,72000 km,Fluence,Manual,2.0 Privilege Mt,2012,,,,
MLM777241970,used,Puebla,Puebla,145000,MXN,Usado,4397 mm,4,115 hp,,Delantera,Sí,1600 cc,Chevrolet,4,1.6,Gasolina,40000 km,Sonic,Manual,1.6 Ls Mt,2016,,,,
MLM806224886,used,Distrito Federal,Coyoacán,1150000,MXN,Usado,4671 mm,2,431 hp,Sí,Trasera,Sí,2979 cc,BMW,2,3.0,Gasolina,8000 km,Serie M,Automática,3.0 M4 Coupe At,2018,,,,
MLM789602901,used,Jalisco,Zapopan,179500,MXN,Usado,3495 mm,5,71 hp,,Trasera,Sí,999 cc,Smart,5,1.0,Gasolina,48000 km,Forfour,Manual,1.0 Prime Mt,2016,,,,
MLM771441798,used,Puebla,Puebla,345000,MXN,Usado,,,,,4x4,,3488 cc,Nissan,5,,Gasolina,50000 km,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2016,,,,
MLM807905623,used,Puebla,Puebla,189900,MXN,Usado,,5,,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,57000 km,Journey,Automática,2.4 Se L4 5pas At,2015,,,,
MLM800132258,used,Hidalgo,Pachuca De Soto,379000,MXN,Usado,4726 mm,4,190 hp,,Delantera,Sí,1984 cc,Audi,4,2.0,Gasolina,45000 km,A4,Automática,2.0 T S Line 190hp Dsg,2017,,,,
MLM792708012,used,Puebla,Puebla,279900,MXN,Usado,,,,,,,,GMC,5,,Gasolina,42000 km,Yukon,,Denali 2013 At,2013,,,,
