,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM805152052,used,Hidalgo,Pachuca De Soto,Usado,4923.0,5.0,185.0,Trasera,Sí,1991.0,Mercedes-Benz,4.0,2.0,Gasolina,43145.0,Clase E,Automática,2.0 200 Cgi Avantgarde At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,329000.0
MLM804194237,used,Hidalgo,Pachuca De Soto,Usado,4432.0,2.0,184.0,Trasera,Sí,1997.0,BMW,2.0,2.0,Gasolina,78000.0,Serie 2,Automática,2.0 220ia Sport Line At,2016.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,295000.0
MLM810635258,used,Hidalgo,Pachuca De Soto,Usado,,,,nan,nan,650.0,Can-Am,nan,nan,nan,1350.0,Outlander,nan,nan,2018.0,nan,can -am,Cuatrimotos,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189000.0
MLM805511847,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x4,Sí,3600.0,Porsche,5.0,3.6,Gasolina,99500.0,Cayenne,Automática,3.6 V6 Tiptronic At,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,259000.0
MLM796882323,used,Puebla,Puebla,Usado,4834.0,5.0,,4x4,Sí,3600.0,Cadillac,5.0,3.6,Gasolina,42000.0,SRX,Automática,3.6 Premium At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,349900.0
MLM808635527,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x2,Sí,5400.0,Ford,5.0,5.4,Gasolina,145000.0,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2007.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159000.0
MLM805172494,used,Puebla,Puebla,Usado,4581.0,5.0,,Delantera,Sí,1800.0,Mercedes-Benz,4.0,1.8,Gasolina,86000.0,Clase C,Manual,1.8 180 Cgi Mt,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,139900.0
MLM800122292,used,Jalisco,Zapopan,Usado,,,,nan,nan,,Ford,2.0,nan,Gasolina,123000.0,Ranger,nan,6cil standar aire,1994.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,81500.0
MLM799243313,used,Hidalgo,Pachuca De Soto,Usado,,5.0,,4x4,Sí,3000.0,BMW,5.0,3.0,Gasolina,149213.0,X5,Automática,3.0 Sia At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,182000.0
MLM804608859,used,Hidalgo,Pachuca De Soto,Usado,5210.0,5.0,381.0,Trasera,Sí,5663.0,Toyota,5.0,5.7,Gasolina,66035.0,Sequoia,Automática,5.7 Platinum At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,399000.0
