,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM805152052,used,Hidalgo,Pachuca De Soto,329000.0,MXN,Usado,4923 mm,5,185 hp,Trasera,Sí,1991 cc,Mercedes-Benz,4,2.0,Gasolina,43145 km,Clase E,Automática,2.0 200 Cgi Avantgarde At,2016,,,,,,,,,,,,,,,,
MLM804194237,used,Hidalgo,Pachuca De Soto,295000.0,MXN,Usado,4432 mm,2,184 hp,Trasera,Sí,1997 cc,BMW,2,2.0,Gasolina,78000 km,Serie 2,Automática,2.0 220ia Sport Line At,2016,No,,,,,,,,,,,,,,,
MLM810635258,used,Hidalgo,Pachuca De Soto,189000.0,MXN,Usado,,,,,,650 cc,Can-Am,,,,1350 km,Outlander,,,2018,,can -am,Cuatrimotos,,,,,,,,,,,,,
MLM805511847,used,Hidalgo,Pachuca De Soto,259000.0,MXN,Usado,,5,,4x4,Sí,3.6 L,Porsche,5,3.6,Gasolina,99500 km,Cayenne,Automática,3.6 V6 Tiptronic At,2008,,,,,,,,,,,,,,,,
MLM796882323,used,Puebla,Puebla,349900.0,MXN,Usado,4834 mm,5,,4x4,Sí,3.6 L,Cadillac,5,3.6,Gasolina,42000 km,SRX,Automática,3.6 Premium At,2016,,,,,,,,,,,,,,,,
MLM808635527,used,Hidalgo,Pachuca De Soto,159000.0,MXN,Usado,,5,,4x2,Sí,5.4 L,Ford,5,5.4,Gasolina,145000 km,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2007,No,,,,,,,,,,,,,,,
MLM805172494,used,Puebla,Puebla,139900.0,MXN,Usado,4581 mm,5,,Delantera,Sí,1.8 L,Mercedes-Benz,4,1.8,Gasolina,86000 km,Clase C,Manual,1.8 180 Cgi Mt,2011,,,,,,,,,,,,,,,,
MLM800122292,used,Jalisco,Zapopan,81500.0,MXN,Usado,,,,,,,Ford,2,,Gasolina,123000 km,Ranger,,6cil standar aire,1994,,,,,,,,,,,,,,,,
MLM799243313,used,Hidalgo,Pachuca De Soto,182000.0,MXN,Usado,,5,,4x4,Sí,3 L,BMW,5,3.0,Gasolina,149213 km,X5,Automática,3.0 Sia At,2009,,,,,,,,,,,,,,,,
MLM804608859,used,Hidalgo,Pachuca De Soto,399000.0,MXN,Usado,5210 mm,5,381 hp,Trasera,Sí,5663 cc,Toyota,5,5.7,Gasolina,66035 km,Sequoia,Automática,5.7 Platinum At,2016,,,,,,,,,,,,,,,,
MLM805862900,used,Puebla,Puebla,219900.0,MXN,Usado,,5,,4x2,Sí,4 L,Ford,5,4.0,Gasolina,72000 km,Explorer,Manual,Limited V6 Sync 4x2 Mt,2011,,,,,,,,,,,,,,,,
MLM805839988,used,Hidalgo,Pachuca De Soto,349000.0,MXN,Usado,,5,,4x2,Sí,3.6 L,Dodge,5,3.6,Gasolina,41023 km,Durango,Automática,3.6 Limited V6 At,2015,,,,,,,,,,,,,,,,
MLM802054117,used,Puebla,Puebla,209900.0,MXN,Usado,4055 mm,,,Delantera,Sí,1.4 L,SEAT,2,1.4,Gasolina,50000 km,Ibiza,Manual,1.4 Cupra Mt Coupe,2015,,,,4,,,,,,,,,,,,
MLM789338188,used,Jalisco,Zapopan,79500.0,MXN,Usado,,,,,,1600 cc,Kawasaki,,,,62000 km,Vulcan 1600,,,2006,,,Chopper,,,,,,,,,,,,,
MLM798412864,used,Puebla,Puebla,159900.0,MXN,Usado,,5,,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,80000 km,Suburban,Automática,D Piel Aa Dvd Qc 4x4 At,2007,,,,,,,,,,,,,,,,
MLM804715732,used,Hidalgo,Pachuca De Soto,239000.0,MXN,Usado,5151 mm,5,,Delantera,Sí,3.6 L,Chrysler,5,3.6,Gasolina,63000 km,Town & Country,Manual,3.6 Limited Mt,2016,,,,,,,,,,,,,,,,
MLM806938103,used,Puebla,Puebla,185000.0,MXN,Usado,,,,,,,Volkswagen,4,,Gasolina,70000 km,Passat,,Cc At 2013,2013,,,,,,,,,,,,,,,,
MLM804621399,used,Hidalgo,Pachuca De Soto,449000.0,MXN,Usado,4989 mm,5,265 hp,4x4,Sí,3498 cc,Infiniti,5,3.5,Gasolina,45200 km,QX60,Automática,3.5 Perfection Plus Cvt,2017,,,,,,,,,,,,,,,,
MLM803311877,used,Jalisco,Zapopan,82500.0,MXN,Usado,3931 mm,5,93 hp,Delantera,,1.6 L,Volkswagen,2,1.6,Gasolina,138000 km,Pointer Pick-Up,Manual,1.6 Crossover Mt,2009,,,,,,,,,,,,,,,,
